CUSTOMERS,AIRLINES,,,,,ISSUE 24JAM,HOTEL,TRAIN / BUS / TRAVEL,RENT CAR,REISSUE FEE,MATERAI,TAKEOVER PAYMENT,INSURANCE,NOTE,
,INTERNASIONAL,DOMESTIC,,,,,,,,,,,,,
,,GARUDA,"OTHER AIRLINES (LION, SJ, CITILINK)","LCC (AIR ASIA, PELITA AIR, TRANSNUSA, SCOOT)","PERINTIS AIRLINE (TRIGANA, SUSI AIR, EXPRESS AIR)",,,,,,,,,,
"AGUNG GROUP (AGUNG RENT, AGUNG SOLUSI)",UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARKUP),ON THE TICKET,"UP 30,000 PER TIKET (MARK UP)","UP 30,000 PER TIKET (MARK UP)",-,"DOMESTIC : UP 20,000 (MARKUP)","UP 30,000 (MARKUP)","DOMESTIC : UP 50,000/DAY","DOMESTIC : 50,000/TIKET (MARKUP)",STAMP DUTY,,,,
,,,,,,,"INTL : UP 50,000 (MARKUP)",,"INTERNATIONAL : UP 100,000/DAY","INTL : 75,000/TIKET (MARKUP)",,,,,
ANSARI,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,MARKUP,"UP 30,000 (MARKUP)",MARKUP,MARKUP,-,,,,
PERUM LKBN ANTARA,UP 4% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE) ,ON THE TICKET,"UP 30,000 PER TIKET (SERVICE FEE) ","UP 30,000 PER TIKET (SERVICE FEE) ",-,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY","DOMESTIC : UP 50,000 (SERVICE FEE)",NO,,,,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE) + PPN",,"INTERNATIONAL : UP 100,000/DAY","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
TURANGGA GROUP,UP 3% (SERVICE FEE),"UP 25,000 FROM TOTAL PER TICKET (SERVICE FEE)","UP 25,000 FROM TOTAL PER TICKET (SERVICE FEE)","DOMESTIC : UP 40,000/TIKET (SERVICE FEE)","DOMESTIC : UP 40,000/TIKET (SERVICE FEE)",-,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : 35,000/TIKET (SERVICE FEE)",-,,,,
,,,,"INTL : UP 75,000/TIKET (SERVICE FEE)","INTL : UP 75,000/TIKET (SERVICE FEE)",,"INTL : UP 65,000 (SERVICE FEE)",,"INTERNATIONAL : UP 150,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,GA & NON GA DIPISAH,
ASTRA INTL,UP 3% FROM TOTAL (SERVICE FEE),UP 3% FROM BASIC (SERVICE FEE),"UP 20,000/TIKET (SERVICE FEE)","UP 50,000 PER WAY (SERVICE FEE)","UP 50,000 PER WAY (SERVICE FEE)",UP 4% FROM TOTAL (SERVICE FEE),"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 100,000/DAY (SERVICE FEE)","DOMESTIC : 50,000 (SERVICE FEE)",YES (MENGACU KE PIC),,,,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE)",,"INTERNATIONAL : UP 150,000/DAY (SERVICE FEE)","INTL : 75,000 (SERVICE FEE)",,,,,
ASTRA DSO,UP 3% FROM TOTAL - MARK UP (GA & NON GA),UP 3% FROM BASIC (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,MARKUP,"UP 30,000 (MARKUP)",,MARKUP,YES (STAMP DUTY),,,,
ATALIAN (OCS),UP 3% FROM TOTAL (SERVICE FEE JANGAN DISHOW),UP 2% FROM TOTAL (SERVICE FEE JANGAN DISHOW),ON THE TICKET,"UP 40,000 PER TIKET  (SERVICE FEE JANGAN DISHOW)","UP 40,000 PER TIKET  (SERVICE FEE JANGAN DISHOW)",-,"UP : 40,000 (SERVICE FEE JANGAN DISHOW)","UP 30,000 (SERVICE FEE JANGAN DISHOW)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : 50,000 (SERVICE FEE JANGAN DI SHOW)",NO,5%,,,
,,,,,,,,,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE )","INTL : 200,000 (SERVICE FEE JANGAN DI SHOW)",,,,,
BARA INDAH SINERGI GRUP,UP 3% (SERVICE FEE),"UP 20,000 PER TIKET (SERVICE FEE)","UP 20,000 PER TIKET (SERVICE FEE)","UP 20,000 PER TIKET (SERVICE FEE)","UP 20,000 PER TIKET (SERVICE FEE)",-,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY","DOMESTIC : 50,000/TIKET (SERVICE FEE)",YES,,,INVOICE DIBUAT PERNAMA,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE)",,"INTERNATIONAL : UP 100,000/DAY","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
BANK HIBANK,UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,MARKUP,"UP 30,000 (MARKUP)",MARKUP,MARKUP,NO,,,,
BINA ARTA,UP 3% FROM TOTAL (SERVICE FEE GA DITONGOLIN),UP 1% FROM TOTAL (SERVICE FEE GA DITONGOLIN),ON THE TICKET,"UP 30,000 PER TIKET (SERVICE FEE)","UP 30,000 PER TIKET (SERVICE FEE GA DITONGOLIN)",-,"DOMESTIC : UP 20,000 (SERVICE FEE GA DITONGOLIN)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY","DOMESTIC : 50,000/TIKET (SERVICE FEE GA DITONGOLIN)",STAMP DUTY,,,,
,,,,,,,"INTL : 50,000/R/N (SERVICE FEE GA DITONGOLIN)",,"INTERNATIONAL : UP 100,000/DAY","INTL : 75,000/TIKET (SERVICE FEE GA DITONGOLIN)",,,,,
BPJS Kesehatan Jaksel,UP 1% FROM TOTAL (SERVICE FEE) (GARUDA),UP 1% FROM TOTAL (SERVICE FEE) ,ON THE TICKET,On the Ticket,ON THE TICKET,-,-,"UP 20,000",,,-,,,,
BPJS KESEHATAN JAKARTA PUSAT,"2,5% (International All Maskapai)",UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 50,000 PER TIKET","UP 50,000 PER TIKET",,,"UP 30,000","DOMESTIC : UP 50,000/DAY",,,,,,
,,,,,,-,,,"INTL : 100,000/DAY ",,,,,,
BPJS Kesehatan Tasikmalaya,,UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,,,,,,,,,,,,
