CUSTOMERS,AIRLINES,,,,,ISSUE 24JAM,HOTEL,TRAIN / BUS / TRAVEL,RENT CAR,REISSUE FEE,MATERAI,TAKEOVER PAYMENT,INSURANCE,NOTE,
,INTERNASIONAL,DOMESTIC,,,,,,,,,,,,,
,,GARUDA,"OTHER AIRLINES (LION, SJ, CITILINK)","LCC (AIR ASIA, PELITA AIR, TRANSNUSA, SCOOT)","PERINTIS AIRLINE (TRIGANA, SUSI AIR, EXPRESS AIR)",,,,,,,,,,
INTRACO,UP 6% FROM TOTAL (SERVICE FEE),UP 6% FROM TOTAL (SERVICE FEE),UP 6% FROM TOTAL (SERVICE FEE),UP 6% FROM TOTAL (SERVICE FEE),UP 6% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : UP 50,000 (SERVICE FEE) + PPN","UP 50,000 PER TIKET (SERVICE FEE) ","DOMESTIC : UP 100,000/DAY (SERVICE FEE)","SF 75,000 PER TIKET (DOMESTIC)",NO,,,,
,,,,,,,"INTL : UP 100,000 (SERVICE FEE) + PPN",,"INTL : UP 200,000/HARI (SERVICE FEE)","SF 100,000 PER TIKET ( INTER )",,,,,
INDOTAMBANG RAYA ,"UP 1,5% FROM TOTAL (SERVICE FEE)","UP 20,000 PER TIKET (SERVICE FEE)","UP 30,000 PER TIKET (SERVICE FEE)","UP 30,000 PER TIKET (SERVICE FEE)","UP 30,000 PER TIKET (SERVICE FEE)",-,"DOMESTIC : UP 20,000/R/N (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : UP 35,000 PER TIKET (SERVICE FEE)",NO,5%,,,
,,,,,,-,"INTL : UP 30,000/R/N (SERVICE FEE)",,"INTL : UP 150,000/HARI (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
PM CONTROL,UP 3% FROM TOTAL (SERVICE FEE) (GA & NON GA),UP 1% PER TIKET (SERVICE FEE),UP 1% PER TIKET (SERVICE FEE),UP 1% PER TIKET (SERVICE FEE),UP 1% PER TIKET (SERVICE FEE),-,"DOMESTIC : UP 30,000 (SERVICE FEE) + PPN","KAI & KCIC : UP 25,000 /TIKET (SERVICE FEE)","DOMESTIC : UP 40,000/DAY (SERVICE FEE)","DOMESTIC : UP 35,000 PER TIKET (SERVICE FEE)",NO,5%,,,
,,,,,,,"INTL : UP 50,000 (SERVICE FEE) + PPN","INTERNATIONAL : 75,000/TIKET (SERVICE FEE)","INTL : UP 100,000/HARI (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,5%,,,
BANGKIT LAKULINER (SEINDONESIA),UP 5% (FROM TOTAL - SERVICE FEE),UP 3% FROM TOTAL (SERVICE FEE),UP 3% FROM TOTAL (SERVICE FEE),UP 3% FROM TOTAL (SERVICE FEE),UP 3% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : UP 50,000 (SERVICE FEE) + PPN","UP 40,000/TIKET (SERVICE FEE)","DOMESTIC : UP 75,000/DAY (SERVICE FEE)","DOMESTIC : UP 50,000 PER TIKET (SERVICE FEE)",YES (STAMP DUTY),7%,"75,000/ PERSON (SERVICE FEE)","CN Keepcom untuk Bp Indra Bisnistrip, nilainya 20% dari service fee",
,,,,,,,"INTL : UP 100,000 (SERVICE FEE) + PPN",,"INTL : UP 150,000/HARI (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
RODA NURMALA,UP 4% FROM TOTAL - SERVICE FEE (GA & NON GA),UP 2% FROM TOTAL PER TIKET (SERVICE FEE),UP 2% FROM TOTAL PER TIKET (SERVICE FEE),UP 2% FROM TOTAL PER TIKET (SERVICE FEE),UP 2% FROM TOTAL PER TIKET (SERVICE FEE),-,"DOMESTIC : UP 40,000 (SERVICE FEE) + PPN","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : UP 50,000 PER TIKET (SERVICE FEE)",YES,,,,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE) + PPN",,"INTL : UP 100,000/HARI (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
ADITYA MANDIRI KONSTRUKSI,UP 4% FROM TOTAL - SERVICE FEE (GA & NON GA),"UP 2,5% FROM TOTAL PER TIKET (SERVICE FEE)","UP 2,5% FROM TOTAL PER TIKET (SERVICE FEE)","UP 2,5% FROM TOTAL PER TIKET (SERVICE FEE)","UP 2,5% FROM TOTAL PER TIKET (SERVICE FEE)",-,"DOMESTIC : UP 40,000 (SERVICE FEE) + PPN","UP 40,000 (SERVICE FEE)","DOMESTIC : UP 75,000/DAY (SERVICE FEE)","DOMESTIC : UP 50,000 PER TIKET (SERVICE FEE)",,7%,,,
,,,,,,,"INTL : UP 100,000 (SERVICE FEE) + PPN",,"INTL : UP 150,000/HARI (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
JICA,UP 4%,UP 2% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
KESATUAN MAS ABADI,UP 4% (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),"UP 50,000 (SERVICE FEE) ","UP 50,000 (SERVICE FEE) ","UP 50,000 (SERVICE FEE) ",-,"UP 50,000 (SERVICE FEE) ","UP 50,000 (SERVICE FEE) ",,,,,,,
MAKIN GROUP,UP 4%,ON THE TICKET,ON THE TICKET,"UP 50,000 PER WAY (SERVICE FEE)","UP 50,000 PER WAY (SERVICE FEE)",-,-,"UP 30,000",,,-,,,,
SOL MELIA,UP 3% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 30,000 PER TIKET (SERVICE FEE)","UP 30,000 PER TIKET (SERVICE FEE)",-,"DOMESTIC : UP 20,000 (SERVICE FEE)","UP 30,000","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : UP 50,000 PER TIKET (SERVICE FEE)",NO,,,,
,,,,,,,"INTL : UP 50,000 (SERVICE FEE)",,"INTL : UP 100,000/HARI (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
METROCOM,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,-,,,
PAPUA SATYA GROUP,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
MONDIAL / C&A,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
MSI,,"20,000 PER TIKET",ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,"30,000 PER INVOICE","UP 30,000",,-,-,,,,
MPM RENT,UP 3% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000/PAX/WAY",-,"DOMESTIC : 50,000/TIKET (SERVICE FEE)",,,,,
,,,,,,,"INTL : UP 100,000 (SERVICE FEE) ",,,"INTL : 200,000/TIKET (SERVICE FEE)",,,,,
MTF,"UP 1,5% FROM TOTAL (SERVICE FEE)",UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : UP 20,000 (SERVICE FEE)","UP 20,000 (SERVICE FEE)",-,"DOMESTIC : 40,000 (SERVICE FEE)",NO,2%,,INPUT KEEPCOMM TIKET : 3330/TIKET,
,,,,,,,"INTL : UP 50,000 (SERVICE FEE)",,,"INTL : 60,000 (SERVICE FEE)",,,,INPUT KEEPCOMM HOTEL : 1110/ROOM,
NINDYA BETON,UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,KOLOM MARKUP,"UP 30,000 (MARKUP)",-,KOLOM MARKUP,-,,,,
NUSAKURA,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
PERKENI,UP 5% FROM TOTAL (GA & NON GA),UP 2% FROM TOTAL (MARK UP),UP 2% FROM TOTAL (MARK UP),UP 2% FROM TOTAL PER TIKET (MARKUP),"UP 50,000 PER TIKET (MARK UP)",-,"DOMESTIC : UP 50,000/R/N","UP 30,000","DOMESTIC : UP 75,000/DAY (SERVICE FEE)","DOMESTIC : 50,000/TIKET (SERVICE FEE)",-,7%,,SERVICE FEE DIINPUT DALAM KOLOM MARK UP (JANGAN DIMUNCULKAN),
,,,,,,-,"INTL : 150,000/R/N",,"INTERNATIONAL : UP 150,000/DAY (SERVICE FEE)","INTL : 200,000/TIKET (SERVICE FEE)",-,,,,
PERSITA,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
PERUM LKBN ANTARA,SF 4% + PPN,UP 2% FROM TOTAL (SERVICE FEE + PPN),ON THE TICKET,"UP 30,000 PER TIKET (SERVICE FEE + PPN)",,,"40,0000 /R/N (SERVICE FEE)","UP 30,000 (SERVICE FEE + PPN)",,-,-,,,,
PPMB GROUP,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
PSMI,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
PUNDI KENCANA,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
RAFFLES,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
REZKA NAYATAMA/AGUNG HARADA,UP 4%,UP 3% FROM BASIC (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,CHARGES DIHARGA TIKET,STAMP DUTY,,,,
SANGATI,UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,KOLOM MARKUP,"UP 30,000 (MARKUP)",-,KOLOM MARKUP,NO,,,GA & NON GA DIPISAH,
SERTCO,UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,KOLOM MARKUP,"UP 30,000 (MARKUP)",-,KOLOM MARKUP,-,5%,,,
SERASI AUTO RAYA,UP 3% FROM TOTAL (MARK UP),UP 2% FROM BASIC (MARK UP),ON THE TICKET,"UP 30,000  PER TIKET ( MARK UP )","UP 30,000  PER TIKET ( MARK UP )",-,KOLOM MARKUP,"UP 30,000 (MARKUP)",-,KOLOM MARKUP,STAMP DUTY,,,GA & NON GA DIPISAH,
SHARP,UP 4% FROM TOTAL (MARKUP),UP 4% FROM TOTAL (MARK UP),UP 4% FROM TOTAL (MARK UP),"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,GA & NON GA DIPISAH,
SARKU ENJINERING UTAMA,"UP 1,5% (SERVICE FEE)","UP 1,5% (SERVICE FEE)","UP 1,5% (SERVICE FEE)","UP 1,5% (SERVICE FEE)","UP 1,5% (SERVICE FEE)",,,"UP 1,5% (SERVICE FEE)",,-,YES,,,"VAT TONGOLIN , SF TIDAK DIMUNCULIN",
SEVTA NUSA ENERGI,UP 3% (SERVICE FEE) + PPN (GA & NON GA),UP 1% (SERVICE FEE),,,,,,,,,,,,,
SOS GROUP,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,,,,,
SRI REJEKI,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
TAM,UP 3% FROM TOTAL - MARK UP ,"UP 0,5% FROM TOTAL (MARK UP)  ",ON THE TICKET ,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,KOLOM MARKUP,"UP 20,000 (MARK UP)",KOLOM MARKUP,KOLOM MARKUP,NO,,,,
TRIMITRA TRANS PERSADA,UP 3% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : 40,000 (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : 50,000/TIKET (SERVICE FEE)",YES (STAMP DUTY),5%,,,
,,,,,,,"INTL : 75,000 (SERVICE FEE)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
THAI CAPITAL,,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET  (MARK UP)","UP 50,000 PER TIKET  (MARK UP)",,KOLOM MARKUP,"UP 30,000 (MARKUP)","DOMESTIC : UP 50,000/DAY (MARKUP)",KOLOM MARKUP,-,5%,,,
,,,,,,-,,,"INTERNATIONAL : UP 100,000/DAY (MARKUP)",,,,,,
TOSHIBA,UP 4% DARI TOTAL (MARK UP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,KOLOM MARKUP,"UP 30,000 (MARKUP)","DOMESTIC : UP 50,000/DAY",KOLOM MARKUP,NO,,,,
,,,,,,,,,"INTERNATIONAL : UP 100,000/DAY",,,,,,
TRILINK,UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,KOLOM MARKUP,"UP 30,000 (MARKUP)","DOMESTIC : UP 50,000/DAY (MARKUP)",KOLOM MARKUP,-,5%,,,
,,,,,,,,,"INTERNATIONAL : UP 100,000/DAY (MARKUP)",,,,,,
BANK VICTORIA,UP 4% DARI TOTAL (MARK UP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,KOLOM MARKUP,"UP 30,000",KOLOM MARKUP,KOLOM MARKUP,NO,,,,
WAHANA VISI,NON GARUDA : FARE ON THE TICKET + 4% (MARKUP),"UP 0,5% FROM TOTAL (SERVICE FEE)",ON THE TICKET,"UP 1,5% (SERVICE FEE) DOMESTIC","UP 1,5% (SERVICE FEE) DOMESTIC",-,"UP 15,000/N (SERVICE FEE DOMESTIC)","UP 20,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : 35,000/TIKET (SERVICE FEE)",NO,5%,,,
,GARUDA : UP 0.5% (SERVICE FEE),,,"UP 1,5% (SERVICE FEE) LCC rute Internasional","UP 1,5% (SERVICE FEE) LCC rute Internasional",,"UP 45,000/N (SERVICE FEE INTERNATIONAL)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
KPP GROUP,UP 3%  FROM TOTAL (SERVICE FEE) ,"UP 25,000 FROM TOTAL PER TICKET (SERVICE FEE)",ON THE TICKET,"UP 25,000 PER TIKET (SERVICE FEE)","UP 25,000 PER TIKET (SERVICE FEE)",-,"DOMESTIC : 20,000/R/N (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : 30,000/TIKET (SERVICE FEE)",NO,5%,-,GA & NON GA DIPISAH,
,,,,,,,"INTL : 50,000/R/N (SERVICE FEE)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
TASTI,UP 2% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),-,"UP 30,000/R/N (SERVICE FEE DOMESTIC)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : 50,000/TIKET (SERVICE FEE)",NO,5%,"50,000/ PERSON (SERVICE FEE)",,
,,,,,,,"UP 60,000/R/N (SERVICE FEE INTER)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
TOKOBAGUS (OLX) / ASTRA DIGITAL MOBIL / SERASI MITRA MOBIL,UP 2% (SERVICE FEE),UP 1% (SERVICE FEE) DOMESTIC,ON THE TICKET,"UP 30,000/TIKET (SERVICE FEE)","UP 30,000/TIKET (SERVICE FEE)",-,"DOMESTIC : 20,000/R/N (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",(STAMP DUTY),7%,,,
,,,,,,,"INTL : 50,000/R/N (SERVICE FEE)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 200,000/TIKET (SERVICE FEE)",,,,,
YDBA,UP 3% FROM TOTAL (SERVICE FEE) ,UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% (SERVICE FEE) - DOMESTIK,UP 1% (SERVICE FEE) - DOMESTIK,-,"UP 40,000 (SERVICE FEE DOMESTIC)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",YES (STAMP DUTY),5%,,,
,,,,,,,"UP 75,000 (SERVICE FEE INTL)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET",,,,,
SUSHI TEI,UP 3% (SERVICE FEE) (GA & NON GA),UP 1% FROM TOTAL (SERVICE FEE),UP 1% (SERVICE FEE) - DOMESTIC,UP 1% (SERVICE FEE) - DOMESTIC,UP 1% (SERVICE FEE) - DOMESTIC,-,"UP 50,000 (SERVICE FEE)  (DOMESTIC)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE",CHARGES DIHARGA TIKET,,,,,
,,,,,,,"UP 100,000 (SERVICE FEE INTL)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)",,,,,,
YPAMDR,UP 3% FROM TOTAL (SERVICE FEE) ,UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),-,"UP 40,000 (SERVICE FEE DOMESTIC)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",STAMP DUTY,5%,,,
,,,,,,,"UP 75,000 (SERVICE FEE INTL)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET",,,,,
SINTA PRIMA FEEDMILL,UP 2% FROM TOTAL - SERVICE FEE (GA & NON GA),"UP 0,5% FROM TOTAL (SERVICE FEE)","UP 0,5% FROM TOTAL (SERVICE FEE)","UP 0,5% FROM TOTAL (SERVICE FEE)","UP 0,5% FROM TOTAL (SERVICE FEE)",-,"DOMESTIC : UP 30,000 (SERVICE FEE)","KAI & KCIC : 25,000/PAX (SERVICE FEE)","DOMESTIC : UP 40,000/DAY (SERVICE FEE","DOMESTIC : 35,000/TIKET",NO,,,,
,,,,,,,"INTL : 75,000 (SERVICE FEE)","TRAIN INTL : 60,000 (SERVICE FEE)","INTERNATIONAL : UP 75,000/DAY (SERVICE FEE)","INTL : 50,000/TIKET",,,,,
BRUEGMANN ASIA,UP 3% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : UP 40,000 (SERVICE FEE)","KAI & KCIC : 30,000/PAX (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",NO,5%,"50,000/ PERSON (SERVICE FEE)",,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE) + PPN","TRAIN INTL : 75,000 (SERVICE FEE)","INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
TUMBUH TUAI INDONESIA,"UP 0,5% (SERVICE FEE) (GA & NON GA)","UP 0,5% FROM TOTAL (SERVICE FEE)","UP 0,5% FROM TOTAL (SERVICE FEE)","UP 0,5% FROM TOTAL (SERVICE FEE)","UP 0,5% FROM TOTAL (SERVICE FEE)",-,"DOMESTIC : UP 25,000 (SERVICE FEE)","UP 20,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE","DOMESTIC : 35,000/TIKET",NO,5%,,,
,,,,,,,"INTL : UP 55,000 (SERVICE FEE) + PPN",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET",,,,,
LG SINARMAS TECHNOLOGY SOLUTIONS,UP 4% FROM TOTAL (SERVICE FEE),"UP 2,5% FROM TOTAL (SERVICE FEE)","UP 2,5% FROM TOTAL (SERVICE FEE)","UP 2,5% FROM TOTAL (SERVICE FEE)","UP 2,5% FROM TOTAL (SERVICE FEE)",-,"DOMESTIC : UP 40,000 (SERVICE FEE)","KAI & KCIC : 40,000 (SERVICE FEE)","DOMESTIC : UP 75,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",YES (STAMP DUTY),7%,"75,000/ PERSON (SERVICE FEE)",,
,,,,,,,"INTL : UP 80,000 (SERVICE FEE)","TRAIN INTL : 100,000 (SERVICE FEE)","INTERNATIONAL : UP 150,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET",,,,,
PT PINTU KREASI KITA,UP 5% FROM TOTAL (SERVICE FEE GA & NON GA),UP 3% FROM TOTAL PER TIKET (SERVICE FEE),UP 3% FROM TOTAL PER TIKET (SERVICE FEE),UP 3% FROM TOTAL PER TIKET (SERVICE FEE),UP 3% FROM TOTAL PER TIKET (SERVICE FEE),-,"DOMESTIC : UP 50,000 (SERVICE FEE)","KAI & KCIC : 40,000 (SERVICE FEE)","DOMESTIC : UP 75,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",YES (STAMP DUTY),7%,,,
,,,,,,,"INTL : UP 100,000 (SERVICE FEE)","TRAIN INTL : 100,000 (SERVICE FEE)","INTERNATIONAL : UP 150,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET",,,,,
LINTANG KREASI KHATULISTIWA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GREE ELECTRIC APPLIANCES,UP 2% FROM TOTAL - SERVICE FEE ,UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : UP 40,000 (SERVICE FEE)","KAI & KCIC : 30,000/PAX (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",YES (STAMP DUTY),5%,,,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE) + PPN","TRAIN INTL : 75,000 (SERVICE FEE)","INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET",,,,,
SPARTAN ERAGON ASIA,UP 5% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : UP 50,000 (SERVICE FEE)","UP 40,000 PER TIKET (SERVICE FEE)","DOMESTIC : UP 75,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",YES (STAMP DUTY),7%,,,
,,,,,,,"INTL : UP 100,000 (SERVICE FEE)",,"INTERNATIONAL : UP 150,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET",,,,,
BUSSAN AUTO FINANCE,UP 2% FROM TOTAL - SERVICE FEE ,UP 1% FROM TOTAL (SERVICE FEE),"UP 20,000 FROM TOTAL (SERVICE FEE PER TIKET)","UP 20,000 FROM TOTAL (SERVICE FEE PER TIKET)","UP 20,000 FROM TOTAL (SERVICE FEE PER TIKET)",-,"DOMESTIC : UP 20,000 (SERVICE FEE)","KAI & KCIC : 20,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE","DOMESTIC : 30,000/TIKET",YES (STAMP DUTY),5%,"20,000/ PERSON (SERVICE FEE)",,
,,,,,,,"INTL : UP 50,000 (SERVICE FEE)","TRAIN INTL : 75,000 (SERVICE FEE)","INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 50,000/TIKET",,,,,
SAMSUNG C &T CORPORATION,UP 4% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 50,000 PER WAY (SERVICE FEE)","UP 50,000 PER WAY (SERVICE FEE)",-,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 PER TIKET (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",YES (STAMP DUTY),5%,,,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE)",,"INTERNATIONAL : UP 150,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET",,,,,
INDONESIA AIRWATA FINANCE (IAF),UP 3% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 PER TIKET (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE","DOMESTIC : 50,000/TIKET",,,,,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET",,,,,
HAWAI WISATA,"0,5% FROM NETT (SERVICE FEE)","UP 10,000 FROM NETT (SERVICE FEE)","UP 10,000 FROM NETT (SERVICE FEE)","UP 10,000 FROM NETT (SERVICE FEE)","UP 10,000 FROM NETT (SERVICE FEE)",-,"UP 10,000/N FROM NETT (SERVICE FEE)","UP 10,000 FROM NETT (SERVICE FEE)",-,-,NO,,,,
,,,,,,,,,,,,,,,
